kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Alok Timur;sri_rejeki_aglaonema_pohon_tree;13;-;-;125;14;5.6
Alok Timur;mangga_mango_kw_qui;1;1.369;1.115;646;875;5.7
Alok Timur;durian_durian_kw_qui;2;-;-;16;17;5.7
Alok Timur;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Alok Timur;pisang_banana_kw_qui;4;29.500;4.736;1.750;1.700;5.7
Alok Timur;pepaya_papaya_kw_qui;5;1.370;392;172;112;5.7
Alok Timur;salak_snakefruit_kw_qui;6;10;18;13;5;5.7
Alok Timur;alpukat_avocado_kw_qui;7;673;710;174;109;5.7
Alok Timur;jambu_biji_guava_kw_qui;8;19;215;-;-;5.7
Alok Timur;nangka_cempedak_jackfruit_kw_qui;9;58;24;67;23;5.7
Alok Timur;nenas_pineapple_kw_qui;10;145;74;18;20;5.7
Alok Timur;rambutan_rambutan_kw_qui;11;14;18;17;26;5.7
Alok Timur;salak_snakefruit_kw_qui;12;10;18;13;5;5.7
Alok Timur;sirsak_soursop_kw_qui;13;375;200;66;23;5.7
Bola;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Bola;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Bola;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;-;5.1
Bola;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;-;-;-;5.1
Bola;kentang_potato_ha_ha;5;-;-;-;-;5.1
Bola;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Bola;tomat_tomato_ha_ha;7;-;-;-;-;5.1
Bola;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Bola;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Bola;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Bola;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;-;5.2
Bola;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;-;-;-;5.2
Bola;kentang_potato_kw_qui;5;-;-;-;-;5.2
Bola;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Bola;tomat_tomato_kw_qui;7;-;-;-;-;5.2
Bola;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Bola;jahe_ginger_m2_m2;1;-;-;-;-;5.3
Bola;laos_lengkuas_galanga_m2_m2;2;-;-;-;-;5.3
Bola;kencur_east_indian_galangal_m2_m2;3;-;-;-;-;5.3
Bola;kunyit_turmeric_m2_m2;4;-;-;-;-;5.3
Bola;jahe_ginger_kg_kg;1;-;-;-;-;5.4
Bola;laos_lengkuas_galanga_kg_kg;2;-;-;-;-;5.4
Bola;kencur_east_indian_galangal_kg_kg;3;-;-;-;-;5.4
Bola;kunyit_turmeric_kg_kg;4;-;-;-;-;5.4
Bola;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Bola;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Bola;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Bola;mawar_rose_m2_m2;4;-;-;-;-;5.5
Bola;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Bola;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Bola;bugenvil_m2_m2;7;NA;-;-;-;5.5
Bola;palem_palm_pohon_tree;8;-;-;-;-;5.5
Bola;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Bola;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Bola;puring_croton_m2_m2;11;NA;-;-;-;5.5
Bola;soka_ixora_m2_m2;12;-;-;-;-;5.5
Bola;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Bola;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Bola;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Bola;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Bola;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Bola;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Bola;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Bola;palem_palm_pohon_tree;8;-;-;-;-;5.6
Bola;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Bola;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Bola;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Bola;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Bola;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
