"kecamatan";"tabel";"tingkat_nama";"tingkat_angka";"negeri_TA_2022_2023";"negeri_TA_2023_2024";"swasta_TA_2022_2023";"swasta_TA_2023_2024";"total_TA_2022_2023";"total_TA_2023_2024"
"Mego";"guru";"SD";"3";"130";"126";"50";"52";"180";"178"
"Mego";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mego";"guru";"SMP";"5";"53";"48";"12";"15";"65";"63"
"Mego";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mego";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mego";"guru";"SMK";"8";"-";"-";"14";"13";"14";"13"
"Mego";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Mego";"murid";"SD";"3";"1.148";"1.078";"786";"755";"1.934";"1.833"
"Mego";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mego";"murid";"SMP";"5";"393";"355";"165";"168";"558";"523"
"Mego";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mego";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mego";"murid";"SMK";"8";"-";"-";"119";"129";"119";"129"
"Mego";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Mego";"sekolah";"SD";"3";"13";"13";"6";"6";"19";"19"
"Mego";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Mego";"sekolah";"SMP";"5";"3";"3";"1";"1";"4";"4"
"Mego";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Mego";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Mego";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Mego";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nelle";"guru";"SD";"3";"18";"17";"54";"49";"72";"66"
"Nelle";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nelle";"guru";"SMP";"5";"26";"27";"8";"8";"34";"35"
"Nelle";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nelle";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Nelle";"guru";"SMK";"8";"-";"-";"25";"22";"25";"22"
"Nelle";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nelle";"murid";"SD";"3";"163";"150";"412";"385";"575";"535"
"Nelle";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nelle";"murid";"SMP";"5";"336";"315";"78";"77";"414";"392"
"Nelle";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nelle";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Nelle";"murid";"SMK";"8";"-";"-";"270";"262";"270";"262"
"Nelle";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nelle";"sekolah";"SD";"3";"2";"2";"6";"6";"8";"8"
"Nelle";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nelle";"sekolah";"SMP";"5";"1";"1";"1";"1";"2";"2"
"Nelle";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nelle";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Nelle";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Nelle";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nita";"guru";"SD";"3";"138";"140";"100";"96";"238";"236"
"Nita";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nita";"guru";"SMP";"5";"58";"61";"33";"33";"91";"94"
"Nita";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nita";"guru";"SMA";"7";"46";"48";"-";"-";"46";"48"
"Nita";"guru";"SMK";"8";"-";"-";"11";"24";"11";"24"
"Nita";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nita";"murid";"SD";"3";"1.158";"1.111";"1.256";"1.177";"2.414";"2.288"
"Nita";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nita";"murid";"SMP";"5";"808";"819";"373";"341";"1.181";"1.160"
"Nita";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nita";"murid";"SMA";"7";"794";"775";"-";"-";"794";"775"
"Nita";"murid";"SMK";"8";"-";"-";"60";"59";"60";"59"
"Nita";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Nita";"sekolah";"SD";"3";"15";"15";"12";"12";"27";"27"
"Nita";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Nita";"sekolah";"SMP";"5";"3";"3";"3";"3";"6";"6"
"Nita";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Nita";"sekolah";"SMA";"7";"1";"1";"-";"-";"1";"1"
"Nita";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Nita";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Paga";"guru";"SD";"3";"126";"129";"81";"77";"207";"206"
"Paga";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Paga";"guru";"SMP";"5";"35";"39";"56";"54";"91";"93"
"Paga";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Paga";"guru";"SMA";"7";"26";"25";"29";"32";"55";"57"
"Paga";"guru";"SMK";"8";"-";"-";"27";"26";"27";"26"
"Paga";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Paga";"murid";"SD";"3";"1.262";"1.255";"988";"942";"2.250";"2.197"
"Paga";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Paga";"murid";"SMP";"5";"347";"341";"847";"785";"1.194";"1.126"
"Paga";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Paga";"murid";"SMA";"7";"264";"281";"580";"538";"844";"819"
"Paga";"murid";"SMK";"8";"-";"-";"166";"212";"166";"212"
"Paga";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Paga";"sekolah";"SD";"3";"12";"12";"9";"9";"21";"21"
"Paga";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Paga";"sekolah";"SMP";"5";"2";"2";"3";"3";"5";"5"
"Paga";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Paga";"sekolah";"SMA";"7";"1";"1";"1";"1";"2";"2"
"Paga";"sekolah";"SMK";"8";"-";"-";"1";"1";"1";"1"
"Paga";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Palue";"guru";"SD";"3";"42";"42";"67";"65";"109";"107"
"Palue";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Palue";"guru";"SMP";"5";"20";"23";"16";"18";"36";"41"
"Palue";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Palue";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Palue";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Palue";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Palue";"murid";"SD";"3";"320";"292";"814";"768";"1.134";"1.060"
"Palue";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Palue";"murid";"SMP";"5";"211";"224";"222";"211";"433";"435"
"Palue";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Palue";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Palue";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Palue";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Palue";"sekolah";"SD";"3";"4";"4";"8";"8";"12";"12"
"Palue";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Palue";"sekolah";"SMP";"5";"1";"1";"1";"1";"2";"2"
"Palue";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Palue";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
