document.id,label,kode_wilayah,tahun_pendidikan,tabel,tingkat,negeri,swasta,negeri_swasta
1,Paga,5310010,2023/2024,Sekolah,SMK,-,1,1
1,Paga,5310010,2023/2024,Guru,SMK,-,26,26
1,Paga,5310010,2023/2024,Murid,SMK,-,212,212
2,Mego,5310011,2023/2024,Sekolah,SMK,-,1,1
2,Mego,5310011,2023/2024,Guru,SMK,-,13,13
2,Mego,5310011,2023/2024,Murid,SMK,-,129,129
3,Tana Wawo,5310012,2023/2024,Sekolah,SMK,-,-,-
3,Tana Wawo,5310012,2023/2024,Guru,SMK,-,-,-
3,Tana Wawo,5310012,2023/2024,Murid,SMK,-,-,-
4,Lela,5310020,2023/2024,Sekolah,SMK,-,1,1
4,Lela,5310020,2023/2024,Guru,SMK,-,19,19
4,Lela,5310020,2023/2024,Murid,SMK,-,136,136
5,Bola,5310030,2023/2024,Sekolah,SMK,-,-,-
5,Bola,5310030,2023/2024,Guru,SMK,-,-,-
5,Bola,5310030,2023/2024,Murid,SMK,-,-,-
6,Doreng,5310031,2023/2024,Sekolah,SMK,-,-,-
6,Doreng,5310031,2023/2024,Guru,SMK,-,-,-
6,Doreng,5310031,2023/2024,Murid,SMK,-,-,-
7,Mapitara,5310032,2023/2024,Sekolah,SMK,-,-,-
7,Mapitara,5310032,2023/2024,Guru,SMK,-,-,-
7,Mapitara,5310032,2023/2024,Murid,SMK,-,-,-
8,Talibura,5310040,2023/2024,Sekolah,SMK,1,-,1
8,Talibura,5310040,2023/2024,Guru,SMK,48,-,48
8,Talibura,5310040,2023/2024,Murid,SMK,311,-,311
9,Waigete,5310041,2023/2024,Sekolah,SMK,-,1,1
9,Waigete,5310041,2023/2024,Guru,SMK,-,14,14
9,Waigete,5310041,2023/2024,Murid,SMK,-,66,66
10,Waiblama,5310042,2023/2024,Sekolah,SMK,-,-,-
10,Waiblama,5310042,2023/2024,Guru,SMK,-,-,-
10,Waiblama,5310042,2023/2024,Murid,SMK,-,-,-
11,Kewapante,5310050,2023/2024,Sekolah,SMK,-,2,2
11,Kewapante,5310050,2023/2024,Guru,SMK,-,36,36
11,Kewapante,5310050,2023/2024,Murid,SMK,-,206,206
12,Hewokloang,5310051,2023/2024,Sekolah,SMK,-,1,1
12,Hewokloang,5310051,2023/2024,Guru,SMK,-,8,8
12,Hewokloang,5310051,2023/2024,Murid,SMK,-,80,80
13,Kangae,5310052,2023/2024,Sekolah,SMK,-,-,-
13,Kangae,5310052,2023/2024,Guru,SMK,-,-,-
13,Kangae,5310052,2023/2024,Murid,SMK,-,-,-
14,Palue,5310061,2023/2024,Sekolah,SMK,-,-,-
14,Palue,5310061,2023/2024,Guru,SMK,-,-,-
14,Palue,5310061,2023/2024,Murid,SMK,-,-,-
15,Koting,5310062,2023/2024,Sekolah,SMK,-,-,-
15,Koting,5310062,2023/2024,Guru,SMK,-,-,-
15,Koting,5310062,2023/2024,Murid,SMK,-,-,-
16,Nelle,5310063,2023/2024,Sekolah,SMK,-,1,1
16,Nelle,5310063,2023/2024,Guru,SMK,-,22,22
16,Nelle,5310063,2023/2024,Murid,SMK,-,262,262
17,Nita,5310070,2023/2024,Sekolah,SMK,-,1,1
17,Nita,5310070,2023/2024,Guru,SMK,-,24,24
17,Nita,5310070,2023/2024,Murid,SMK,-,59,59
18,Magepanda,5310071,2023/2024,Sekolah,SMK,-,-,-
18,Magepanda,5310071,2023/2024,Guru,SMK,-,-,-
18,Magepanda,5310071,2023/2024,Murid,SMK,-,-,-
19,Alok,5310080,2023/2024,Sekolah,SMK,1,3,4
19,Alok,5310080,2023/2024,Guru,SMK,114,95,209
19,Alok,5310080,2023/2024,Murid,SMK,1.684,1.367,3.051
20,Alok Barat,5310081,2023/2024,Sekolah,SMK,1,2,3
20,Alok Barat,5310081,2023/2024,Guru,SMK,32,31,63
20,Alok Barat,5310081,2023/2024,Murid,SMK,216,475,691
21,Alok Timur,5310082,2023/2024,Sekolah,SMK,1,3,4
21,Alok Timur,5310082,2023/2024,Guru,SMK,45,123,168
21,Alok Timur,5310082,2023/2024,Murid,SMK,783,1.999,2.782
22,Sikka,5310000,2023/2024,Sekolah,SMK,4,17,21
22,Sikka,5310000,2023/2024,Guru,SMK,239,411,650
22,Sikka,5310000,2023/2024,Murid,SMK,2.994,4.991,7.985
