kecamatan_subdistrict,komoditas,y2020,y2021,y2022,y2023,name,no_komoditas,tabel
Palue,cabai_keriting_chili_curly_chili_ha_ha,...,-,1,-,cabai_keriting,3,tbl_5.1
Koting,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,2,1,1,cabai_besar,2,tbl_5.1
Koting,cabai_keriting_chili_curly_chili_ha_ha,...,-,1,1,cabai_keriting,3,tbl_5.1
Nelle,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,0,0,0,cabai_besar,2,tbl_5.1
Nelle,cabai_keriting_chili_curly_chili_ha_ha,...,1,0,0,cabai_keriting,3,tbl_5.1
Nita,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,6,14,13,cabai_besar,2,tbl_5.1
Nita,cabai_keriting_chili_curly_chili_ha_ha,...,7,21,18,cabai_keriting,3,tbl_5.1
Magepanda,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,4,-,-,cabai_besar,2,tbl_5.1
Magepanda,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,-,cabai_keriting,3,tbl_5.1
Alok,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,1,0,0,cabai_besar,2,tbl_5.1
Alok,cabai_keriting_chili_curly_chili_ha_ha,...,1,1,1,cabai_keriting,3,tbl_5.1
Alok Barat,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,3,1,1,cabai_besar,2,tbl_5.1
Alok Barat,cabai_keriting_chili_curly_chili_ha_ha,...,2,1,2,cabai_keriting,3,tbl_5.1
Alok Timur,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,-,-,-,cabai_besar,2,tbl_5.1
Alok Timur,cabai_keriting_chili_curly_chili_ha_ha,...,-,-,-,cabai_keriting,3,tbl_5.1
Sikka,cabai_besar_tw_teropong_chili_big_chili_ha_ha,...,25,22,19,cabai_besar,2,tbl_5.1
Sikka,cabai_keriting_chili_curly_chili_ha_ha,...,17,35,29,cabai_keriting,3,tbl_5.1
Paga,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Paga,cabai_besar_chili_big_chili_kw_qui,100,...,...,...,cabai_besar,2,tbl_5.2
Paga,cabai_rawit_chili_cayenne_pepper_kw_qui,992,385,516,519,cabai_rawit,4,tbl_5.2
Paga,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Paga,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Paga,tomat_tomato_kw_qui,921,700,231,670,tomat_tomato,7,tbl_5.2
Paga,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Mego,bawang_merah_shallots_kw_qui,31,-,-,-,bawang_merah,1,tbl_5.2
Mego,cabai_besar_chili_big_chili_kw_qui,517,...,...,...,cabai_besar,2,tbl_5.2
Mego,cabai_rawit_chili_cayenne_pepper_kw_qui,545,68,61,6,cabai_rawit,4,tbl_5.2
Mego,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Mego,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Mego,tomat_tomato_kw_qui,348,114,141,32,tomat_tomato,7,tbl_5.2
Mego,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Tana Wawo,bawang_merah_shallots_kw_qui,497,23,24,23,bawang_merah,1,tbl_5.2
Tana Wawo,cabai_besar_chili_big_chili_kw_qui,735,...,...,...,cabai_besar,2,tbl_5.2
Tana Wawo,cabai_rawit_chili_cayenne_pepper_kw_qui,3.300,92,104,40,cabai_rawit,4,tbl_5.2
Tana Wawo,kentang_potato_kw_qui,-,-,-,12,kentang_potato,5,tbl_5.2
Tana Wawo,kubis_cabbage_kw_qui,-,40,-,-,kubis_cabbage,6,tbl_5.2
Tana Wawo,tomat_tomato_kw_qui,231,22,2,1,tomat_tomato,7,tbl_5.2
Tana Wawo,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Lela,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Lela,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Lela,cabai_rawit_chili_cayenne_pepper_kw_qui,233,141,145,67,cabai_rawit,4,tbl_5.2
Lela,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Lela,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Lela,tomat_tomato_kw_qui,371,563,825,410,tomat_tomato,7,tbl_5.2
Lela,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Bola,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Bola,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Bola,cabai_rawit_chili_cayenne_pepper_kw_qui,-,-,-,-,cabai_rawit,4,tbl_5.2
Bola,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Bola,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Bola,tomat_tomato_kw_qui,-,-,-,-,tomat_tomato,7,tbl_5.2
Bola,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Doreng,bawang_merah_shallots_kw_qui,35,-,-,-,bawang_merah,1,tbl_5.2
Doreng,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Doreng,cabai_rawit_chili_cayenne_pepper_kw_qui,-,-,-,-,cabai_rawit,4,tbl_5.2
Doreng,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Doreng,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Doreng,tomat_tomato_kw_qui,-,-,-,-,tomat_tomato,7,tbl_5.2
Doreng,bawang_putih_garlic_kw_qui,4,-,-,-,bawang_putih,8,tbl_5.2
Mapitara,bawang_merah_shallots_kw_qui,-,151,-,-,bawang_merah,1,tbl_5.2
Mapitara,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Mapitara,cabai_rawit_chili_cayenne_pepper_kw_qui,400,1.179,15,-,cabai_rawit,4,tbl_5.2
Mapitara,kentang_potato_kw_qui,-,609,650,200,kentang_potato,5,tbl_5.2
Mapitara,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Mapitara,tomat_tomato_kw_qui,24,182,65,44,tomat_tomato,7,tbl_5.2
Mapitara,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Talibura,bawang_merah_shallots_kw_qui,50,6,2,12,bawang_merah,1,tbl_5.2
Talibura,cabai_besar_chili_big_chili_kw_qui,170,...,...,...,cabai_besar,2,tbl_5.2
Talibura,cabai_rawit_chili_cayenne_pepper_kw_qui,-,25,51,56,cabai_rawit,4,tbl_5.2
Talibura,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Talibura,kubis_cabbage_kw_qui,375,4,1,-,kubis_cabbage,6,tbl_5.2
Talibura,tomat_tomato_kw_qui,380,12,18,24,tomat_tomato,7,tbl_5.2
Talibura,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Waigete,bawang_merah_shallots_kw_qui,128,33,9,7,bawang_merah,1,tbl_5.2
Waigete,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Waigete,cabai_rawit_chili_cayenne_pepper_kw_qui,45,49,119,22,cabai_rawit,4,tbl_5.2
Waigete,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Waigete,kubis_cabbage_kw_qui,23,5,8,28,kubis_cabbage,6,tbl_5.2
Waigete,tomat_tomato_kw_qui,364,98,49,6,tomat_tomato,7,tbl_5.2
Waigete,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Waiblama,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Waiblama,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Waiblama,cabai_rawit_chili_cayenne_pepper_kw_qui,15,2,-,-,cabai_rawit,4,tbl_5.2
Waiblama,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Waiblama,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Waiblama,tomat_tomato_kw_qui,-,1,145,-,tomat_tomato,7,tbl_5.2
Waiblama,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Kewapante,bawang_merah_shallots_kw_qui,1,-,-,1,bawang_merah,1,tbl_5.2
Kewapante,cabai_besar_chili_big_chili_kw_qui,110,...,...,...,cabai_besar,2,tbl_5.2
Kewapante,cabai_rawit_chili_cayenne_pepper_kw_qui,-,3,12,5,cabai_rawit,4,tbl_5.2
Kewapante,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Kewapante,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Kewapante,tomat_tomato_kw_qui,35,25,35,4,tomat_tomato,7,tbl_5.2
Kewapante,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Hewokloang,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Hewokloang,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Hewokloang,cabai_rawit_chili_cayenne_pepper_kw_qui,-,24,-,3,cabai_rawit,4,tbl_5.2
